200.,.171,200.,1.159
251.,.229,251.,1.380
316.,.282,316.,1.494
398.,.311,398.,1.541
501.,.328,501.,1.499
631.,.325,631.,1.412
794.,.339,794.,1.336
1000.,.340,1000.,1.238
1259.,.337,1259.,1.135
1585.,.345,1585.,1.025
1995.,.336,1995.,.923
2512.,.326,2512.,.792
3162.,.330,3162.,.715
3981.,.316,3981.,.619
5012.,.318,5012.,.528
6310.,.307,6310.,.444
7943.,.305,7943.,.380
10000.,.306,10000.,.337
12589.,.304,12589.,.253
15849.,.295,15849.,.219
19953.,.292,19953.,.196
25119.,.295,25119.,.166
31623.,.298,31623.,.133
